vmax_cp	max_depth	vmax_minbucket	min_split	ganancia_promedio
0.5	6	16	30	0
0.5	9	16	500	0
0.5	9	16	300	0
0.5	9	16	200	0
0.5	9	16	150	0
0.5	9	16	50	0
0.5	9	16	30	0
0.5	11	16	500	0
0.5	11	16	300	0
0.5	11	16	200	0
0.5	11	16	150	0
0.5	11	16	50	0
0.5	11	16	30	0
0.5	12	16	500	0
0.5	12	16	300	0
0.5	12	16	200	0
0.5	12	16	150	0
0.5	12	16	50	0
0.5	12	16	30	0
1	3	250	500	0
1	3	250	300	0
1	3	250	200	0
1	3	250	150	0
1	3	250	50	0
1	3	250	30	0
1	5	250	500	0
1	5	250	300	0
1	5	250	200	0
1	5	250	150	0
1	5	250	50	0
1	5	250	30	0
1	6	250	500	0
1	6	250	300	0
1	6	250	200	0
1	6	250	150	0
1	6	250	50	0
1	6	250	30	0
1	9	250	500	0
1	9	250	300	0
1	9	250	200	0
1	9	250	150	0
1	9	250	50	0
1	9	250	30	0
1	11	250	500	0
1	11	250	300	0
1	11	250	200	0
1	11	250	150	0
1	11	250	50	0
1	11	250	30	0
1	12	250	500	0
1	12	250	300	0
1	12	250	200	0
1	12	250	150	0
1	12	250	50	0
1	12	250	30	0
1	3	150	500	0
1	3	150	300	0
1	3	150	200	0
1	3	150	150	0
1	3	150	50	0
1	3	150	30	0
1	5	150	500	0
1	5	150	300	0
1	5	150	200	0
1	5	150	150	0
1	5	150	50	0
1	5	150	30	0
1	6	150	500	0
1	6	150	300	0
1	6	150	200	0
1	6	150	150	0
1	6	150	50	0
1	6	150	30	0
1	9	150	500	0
1	9	150	300	0
1	9	150	200	0
1	9	150	150	0
1	9	150	50	0
1	9	150	30	0
1	11	150	500	0
1	11	150	300	0
1	11	150	200	0
1	11	150	150	0
1	11	150	50	0
1	11	150	30	0
1	12	150	500	0
1	12	150	300	0
1	12	150	200	0
1	12	150	150	0
1	12	150	50	0
1	12	150	30	0
1	3	100	500	0
1	3	100	300	0
1	3	100	200	0
1	3	100	150	0
1	3	100	50	0
1	3	100	30	0
1	5	100	500	0
1	5	100	300	0
1	5	100	200	0
1	5	100	150	0
1	5	100	50	0
1	5	100	30	0
1	6	100	500	0
1	6	100	300	0
1	6	100	200	0
1	6	100	150	0
1	6	100	50	0
1	6	100	30	0
1	9	100	500	0
1	9	100	300	0
1	9	100	200	0
1	9	100	150	0
1	9	100	50	0
1	9	100	30	0
1	11	100	500	0
1	11	100	300	0
1	11	100	200	0
1	11	100	150	0
1	11	100	50	0
1	11	100	30	0
1	12	100	500	0
1	12	100	300	0
1	12	100	200	0
1	12	100	150	0
1	12	100	50	0
1	12	100	30	0
1	3	76	500	0
1	3	76	300	0
1	3	76	200	0
1	3	76	150	0
1	3	76	50	0
1	3	76	30	0
1	5	76	500	0
1	5	76	300	0
1	5	76	200	0
1	5	76	150	0
1	5	76	50	0
1	5	76	30	0
1	6	76	500	0
1	6	76	300	0
1	6	76	200	0
1	6	76	150	0
1	6	76	50	0
1	6	76	30	0
1	9	76	500	0
1	9	76	300	0
1	9	76	200	0
1	9	76	150	0
1	9	76	50	0
1	9	76	30	0
1	11	76	500	0
1	11	76	300	0
1	11	76	200	0
1	11	76	150	0
1	11	76	50	0
1	11	76	30	0
1	12	76	500	0
1	12	76	300	0
1	12	76	200	0
1	12	76	150	0
1	12	76	50	0
1	12	76	30	0
1	3	26	500	0
1	3	26	300	0
1	3	26	200	0
1	3	26	150	0
1	3	26	50	0
1	3	26	30	0
1	5	26	500	0
1	5	26	300	0
1	5	26	200	0
1	5	26	150	0
1	5	26	50	0
1	5	26	30	0
1	6	26	500	0
1	6	26	300	0
1	6	26	200	0
1	6	26	150	0
1	6	26	50	0
1	6	26	30	0
1	9	26	500	0
1	9	26	300	0
1	9	26	200	0
1	9	26	150	0
1	9	26	50	0
1	9	26	30	0
1	11	26	500	0
1	11	26	300	0
1	11	26	200	0
1	11	26	150	0
1	11	26	50	0
1	11	26	30	0
1	12	26	500	0
1	12	26	300	0
1	12	26	200	0
1	12	26	150	0
1	12	26	50	0
1	12	26	30	0
1	3	16	500	0
1	3	16	300	0
1	3	16	200	0
1	3	16	150	0
1	3	16	50	0
1	3	16	30	0
1	5	16	500	0
1	5	16	300	0
1	5	16	200	0
1	5	16	150	0
1	5	16	50	0
1	5	16	30	0
1	6	16	500	0
1	6	16	300	0
1	6	16	200	0
1	6	16	150	0
1	6	16	50	0
1	6	16	30	0
1	9	16	500	0
1	9	16	300	0
1	9	16	200	0
1	9	16	150	0
1	9	16	50	0
1	9	16	30	0
1	11	16	500	0
1	11	16	300	0
1	11	16	200	0
1	11	16	150	0
1	11	16	50	0
1	11	16	30	0
1	12	16	500	0
1	12	16	300	0
1	12	16	200	0
1	12	16	150	0
1	12	16	50	0
1	12	16	30	0
